trial,score,test_score,time,alpha
0,0,0,1694008958.0169883,0
0,0.5253094784166731,0.5211960342703948,1694008958.0590177,1
1,0.5253094784166731,0.5214029503879503,1694008958.0974927,0.1479858008262408
2,0.5271386069180781,0.5219571989507811,1694008958.1402023,159.67794487583626
3,0.5245495268022498,0.5196556370421954,1694008958.1651666,1.0026370484058337e-05
4,0.5267551260385075,0.521821968770193,1694008958.1960533,0.010551779964424744
5,0.5245495268022498,0.5196556370421954,1694008958.2268186,0.0002934667538425119
6,0.5245495268022498,0.5196556370421954,1694008958.2519867,8.38273906282216e-05
7,0.5251661599024395,0.5202583175274347,1694008958.2817204,0.0007287895114844968
8,0.5253094784166731,0.5214029503879503,1694008958.317552,0.028550076115684796
9,0.5253094784166731,0.5214029503879503,1694008958.356383,0.09282709131819131
10,0.5256457057281451,0.5213344988223124,1694008958.4104679,2.4443722237313104
11,0.5253094784166731,0.5214029503879503,1694008958.456714,0.15557691091700665
12,0.5271386069180781,0.5219571989507811,1694008958.5086179,71.15329296351369
13,0.5253627035895316,0.5205675066970308,1694008958.540567,0.0011079559582029609
14,0.5271386069180781,0.5219571989507811,1694008958.591379,6041.911560283391
15,0.5245495268022498,0.5196556370421954,1694008958.6212847,1.878780015563565e-05
16,0.5271386069180781,0.5219571989507811,1694008958.6716418,50.6611567427364
17,0.5253094784166731,0.5214029503879503,1694008958.7153246,0.14895257782642687
18,0.5256457057281451,0.5219722833894818,1694008958.7623167,3.8627649714580437
19,0.5245495268022498,0.5196556370421954,1694008958.7921875,0.0002534366305306397
20,0.5253627035895316,0.5205675066970308,1694008958.8211317,0.0009572268915979561
21,0.5271386069180781,0.5219571989507811,1694008958.8790956,1017.2921347881147
22,0.5271386069180781,0.5219571989507811,1694008958.9323447,48152.15820395765
23,0.5267764161076508,0.521821968770193,1694008958.974282,0.013622028406348661
24,0.5271386069180781,0.5219571989507811,1694008959.0255485,83.79655349166647
25,0.5271386069180781,0.5219571989507811,1694008959.0788002,5806.1937368570825
26,0.5271386069180781,0.5219571989507811,1694008959.1344485,8832.154042762626
27,0.5245495268022498,0.5196556370421954,1694008959.1636677,7.086668432729146e-05
28,0.5245495268022498,0.5196556370421954,1694008959.193384,2.4578073143084784e-05
29,0.5246219649643352,0.5197433275407417,1694008959.2289426,0.0004992340467017384
30,0.5271386069180781,0.5219571989507811,1694008959.2848368,6045.399897177922
