trial,score,test_score,time,alpha
0,0,0,1694021372.0495713,0
0,0.5309757473028469,0.5315313611539664,1694021372.0619538,1
1,0.5309757473028469,0.5315313611539664,1694021372.073144,1.3785846475898387
2,0.5309757473028469,0.5315313611539664,1694021372.0843441,539.0766499227351
3,0.5309757473028469,0.5315313611539664,1694021372.0954373,5061.472216407257
4,0.5326666819805232,0.5336313466587511,1694021372.1053622,1.2035648211092523e-05
5,0.5309757473028469,0.5315313611539664,1694021372.1165483,0.01251293691535603
6,0.5309757473028469,0.5315313611539664,1694021372.1275873,37673.62353615388
7,0.5309757473028469,0.5315313611539664,1694021372.1385744,1.3525929600228663
8,0.5309757473028469,0.5315313611539664,1694021372.1495745,0.015235062798814838
9,0.5309757473028469,0.5315313611539664,1694021372.1606095,2.466035784099114
10,0.5326666819805232,0.5336313466587511,1694021372.1748223,2.3593999303508912e-05
11,0.5326666819805232,0.5336313466587511,1694021372.1879315,1.633505694170323e-05
12,0.5326666819805232,0.5336313466587511,1694021372.2012436,2.626026136811184e-05
13,0.5368797732267132,0.5382081462796672,1694021372.215498,0.00010497259794913936
14,0.5368797732267132,0.5382081462796672,1694021372.229046,0.0003398955253745541
15,0.5309757473028469,0.5382081462796672,1694021372.2437217,0.0014844893881825738
16,0.5368797732267132,0.5382081462796672,1694021372.2574036,0.0003064142943537887
17,0.5368797732267132,0.5382081462796672,1694021372.271052,0.00045970635351248675
18,0.5309757473028469,0.5315313611539664,1694021372.285825,0.006940469931958283
19,0.5368797732267132,0.5382081462796672,1694021372.3000834,0.00012979216636775084
20,0.5309757473028469,0.5315313611539664,1694021372.314685,0.0020148810251054226
21,0.5368797732267132,0.5382081462796672,1694021372.3300605,0.00021949430385561172
22,0.5368797732267132,0.5382081462796672,1694021372.3446174,0.00015439201021338309
23,0.5309757473028469,0.5315313611539664,1694021372.3596244,0.04608586543955435
24,0.5368797732267132,0.5382081462796672,1694021372.3743432,0.0007360903088110402
25,0.5368797732267132,0.5382081462796672,1694021372.3879418,5.501362593668659e-05
26,0.5368797732267132,0.5382081462796672,1694021372.4024131,0.00014845826676063617
27,0.5309757473028469,0.5315313611539664,1694021372.4171753,0.0023311374268052284
28,0.5368797732267132,0.5382081462796672,1694021372.431275,0.0004200974275964876
29,0.5309757473028469,0.5315313611539664,1694021372.4462235,0.12275223097008676
30,0.5368797732267132,0.5382081462796672,1694021372.4606745,6.636293955559076e-05
31,0.5368797732267132,0.5382081462796672,1694021372.4755309,0.0005556811295220673
32,0.5368797732267132,0.5382081462796672,1694021372.4902773,0.0006645338179322843
33,0.5368797732267132,0.5382081462796672,1694021372.5047882,7.019852686094947e-05
34,0.5309757473028469,0.5315313611539664,1694021372.5196304,0.0025811314122527215
35,0.5326666819805232,0.5336313466587511,1694021372.5332384,1.2207893517486952e-05
